ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,287,"Inglewood, CA",16000US0636546,inglewood-ca,492,0.004416081
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,385,"Inglewood, CA",16000US0636546,inglewood-ca,1481,0.013293122
3,Asian Alone,1,Hispanic or Latino,2015,2015,55,"Inglewood, CA",16000US0636546,inglewood-ca,36,0.000323128
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,179,"Inglewood, CA",16000US0636546,inglewood-ca,303,0.00271966
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,13,"Inglewood, CA",16000US0636546,inglewood-ca,7,6.28304E-05
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,154,"Inglewood, CA",16000US0636546,inglewood-ca,356,0.003195376
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,1932,"Inglewood, CA",16000US0636546,inglewood-ca,25852,0.232041719
6,Two or More Races,0,Not Hispanic or Latino,2015,2015,447.0357928,"Inglewood, CA",16000US0636546,inglewood-ca,2058,0.018472144
6,Two or More Races,1,Hispanic or Latino,2015,2015,458.4550142,"Inglewood, CA",16000US0636546,inglewood-ca,1498,0.01344571
0,White Alone,0,Not Hispanic or Latino,2014,2014,510,"Inglewood, CA",16000US0636546,inglewood-ca,3654,0.032879523
0,White Alone,1,Hispanic or Latino,2014,2014,1888,"Inglewood, CA",16000US0636546,inglewood-ca,27656,0.248854976
1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,1379,"Inglewood, CA",16000US0636546,inglewood-ca,46767,0.420820098
1,Black or African American Alone,1,Hispanic or Latino,2014,2014,261,"Inglewood, CA",16000US0636546,inglewood-ca,692,0.006226773
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,58,"Inglewood, CA",16000US0636546,inglewood-ca,91,0.000818839
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2014,2014,309,"Inglewood, CA",16000US0636546,inglewood-ca,526,0.004733068
3,Asian Alone,0,Not Hispanic or Latino,2014,2014,327,"Inglewood, CA",16000US0636546,inglewood-ca,1358,0.012219593
3,Asian Alone,1,Hispanic or Latino,2014,2014,55,"Inglewood, CA",16000US0636546,inglewood-ca,37,0.000332934
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2014,2014,211,"Inglewood, CA",16000US0636546,inglewood-ca,431,0.003878236
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2014,2014,12,"Inglewood, CA",16000US0636546,inglewood-ca,7,6.29876E-05
5,Some Other Race Alone,0,Not Hispanic or Latino,2014,2014,135,"Inglewood, CA",16000US0636546,inglewood-ca,320,0.002879433
5,Some Other Race Alone,1,Hispanic or Latino,2014,2014,1991,"Inglewood, CA",16000US0636546,inglewood-ca,25868,0.232766145
6,Two or More Races,0,Not Hispanic or Latino,2014,2014,559.3254866,"Inglewood, CA",16000US0636546,inglewood-ca,2119,0.019067244
6,Two or More Races,1,Hispanic or Latino,2014,2014,538.8970217,"Inglewood, CA",16000US0636546,inglewood-ca,1607,0.014460151
0,White Alone,0,Not Hispanic or Latino,2013,2013,565,"Inglewood, CA",16000US0636546,inglewood-ca,3792,0.034290365
0,White Alone,1,Hispanic or Latino,2013,2013,1935,"Inglewood, CA",16000US0636546,inglewood-ca,26879,0.243061898
1,Black or African American Alone,0,Not Hispanic or Latino,2013,2013,1761,"Inglewood, CA",16000US0636546,inglewood-ca,46745,0.422706515
1,Black or African American Alone,1,Hispanic or Latino,2013,2013,303,"Inglewood, CA",16000US0636546,inglewood-ca,940,0.008500249
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2013,2013,49,"Inglewood, CA",16000US0636546,inglewood-ca,79,0.000714383
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2013,2013,226,"Inglewood, CA",16000US0636546,inglewood-ca,383,0.003463399
3,Asian Alone,0,Not Hispanic or Latino,2013,2013,302,"Inglewood, CA",16000US0636546,inglewood-ca,1112,0.010055613
3,Asian Alone,1,Hispanic or Latino,2013,2013,64,"Inglewood, CA",16000US0636546,inglewood-ca,46,0.00041597
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2013,2013,295,"Inglewood, CA",16000US0636546,inglewood-ca,641,0.005796446
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2013,2013,17,"Inglewood, CA",16000US0636546,inglewood-ca,8,7.23425E-05
5,Some Other Race Alone,0,Not Hispanic or Latino,2013,2013,172,"Inglewood, CA",16000US0636546,inglewood-ca,296,0.002676674
5,Some Other Race Alone,1,Hispanic or Latino,2013,2013,2024,"Inglewood, CA",16000US0636546,inglewood-ca,26478,0.239435728
6,Two or More Races,0,Not Hispanic or Latino,2013,2013,412.5542389,"Inglewood, CA",16000US0636546,inglewood-ca,2012,0.018194149
6,Two or More Races,1,Hispanic or Latino,2013,2013,345.774493,"Inglewood, CA",16000US0636546,inglewood-ca,1174,0.010616268
